,EVENTMSGACTIONTYPE,EVENTMSGTYPE,EVENTNUM,GAME_ID,HOMEDESCRIPTION,NEUTRALDESCRIPTION,PCTIMESTRING,PERIOD,PERSON1TYPE,PERSON2TYPE,PERSON3TYPE,PLAYER1_ID,PLAYER1_NAME,PLAYER1_TEAM_ABBREVIATION,PLAYER1_TEAM_CITY,PLAYER1_TEAM_ID,PLAYER1_TEAM_NICKNAME,PLAYER2_ID,PLAYER2_NAME,PLAYER2_TEAM_ABBREVIATION,PLAYER2_TEAM_CITY,PLAYER2_TEAM_ID,PLAYER2_TEAM_NICKNAME,PLAYER3_ID,PLAYER3_NAME,PLAYER3_TEAM_ABBREVIATION,PLAYER3_TEAM_CITY,PLAYER3_TEAM_ID,PLAYER3_TEAM_NICKNAME,SCORE,SCOREMARGIN,VISITORDESCRIPTION,WCTIMESTRING
243,0,8,290,21500477,,,0:03,2,5,5,0,2743,Kris Humphries,WAS,Washington,1610612764,Wizards,101162,Marcin Gortat,WAS,Washington,1610612764,Wizards,0,,,,,,,,SUB: Gortat FOR Humphries,8:40 PM
244,79,2,291,21500477,,,0:00,2,5,0,0,202322,John Wall,WAS,Washington,1610612764,Wizards,0,,,,,,0,,,,,,,,MISS Wall 26' 3PT Pullup Jump Shot,8:40 PM
245,0,4,292,21500477,,,0:00,2,3,0,0,1610612764,,,,,,0,,,,,,0,,,,,,,,Wizards Rebound,8:40 PM
246,0,13,293,21500477,,,0:00,2,0,0,0,0,,,,,,0,,,,,,0,,,,,,41 - 52,11,,8:40 PM
247,0,12,295,21500477,,,12:00,3,0,0,0,0,,,,,,0,,,,,,0,,,,,,41 - 52,11,,8:56 PM
248,47,2,296,21500477,,,11:40,3,5,0,0,101162,Marcin Gortat,WAS,Washington,1610612764,Wizards,0,,,,,,0,,,,,,,,MISS Gortat 8' Turnaround Jump Shot,8:56 PM
249,0,4,297,21500477,Carroll REBOUND (Off:1 Def:3),,11:40,3,4,0,0,201960,DeMarre Carroll,TOR,Toronto,1610612761,Raptors,0,,,,,,0,,,,,,,,,8:56 PM
250,26,6,298,21500477,Lowry Offensive Charge Foul (P1.T1) (T.Ford),,11:28,3,4,5,1,200768,Kyle Lowry,TOR,Toronto,1610612761,Raptors,101162,Marcin Gortat,WAS,Washington,1610612764,Wizards,0,,,,,,,,,8:56 PM
251,5,5,299,21500477,Lowry Foul Turnover (P5.T9),,11:28,3,4,0,1,200768,Kyle Lowry,TOR,Toronto,1610612761,Raptors,0,,,,,,0,,,,,,,,,8:56 PM
252,29,6,300,21500477,Valanciunas Shooting Block Foul (P3.T2) (D.Guthrie),,11:14,3,4,5,1,202685,Jonas Valanciunas,TOR,Toronto,1610612761,Raptors,203490,Otto Porter,WAS,Washington,1610612764,Wizards,0,,,,,,,,,8:57 PM
253,11,3,301,21500477,,,11:14,3,5,0,0,203490,Otto Porter,WAS,Washington,1610612764,Wizards,0,,,,,,0,,,,,,,,MISS Porter Jr. Free Throw 1 of 2,8:57 PM
254,1,4,302,21500477,,,11:14,3,3,0,0,1610612764,,,,,,0,,,,,,0,,,,,,,,Wizards Rebound,8:57 PM
255,12,3,303,21500477,,,11:14,3,5,0,0,203490,Otto Porter,WAS,Washington,1610612764,Wizards,0,,,,,,0,,,,,,42 - 52,10,Porter Jr. Free Throw 2 of 2 (8 PTS),8:58 PM
256,1,2,306,21500477,MISS DeRozan 25' 3PT Jump Shot,,10:50,3,4,0,0,201942,DeMar DeRozan,TOR,Toronto,1610612761,Raptors,0,,,,,,0,,,,,,,,,8:59 PM
257,0,4,307,21500477,RAPTORS Rebound,,10:49,3,2,0,0,1610612761,,,,,,0,,,,,,0,,,,,,,,,8:59 PM
258,11,5,308,21500477,RAPTORS Turnover: Shot Clock (T#10),,10:49,3,2,0,1,1610612761,,,,,,0,,,,,,0,,,,,,,,,8:59 PM
259,79,1,309,21500477,,,10:35,3,5,0,0,203490,Otto Porter,WAS,Washington,1610612764,Wizards,0,,,,,,0,,,,,,44 - 52,8,Porter Jr. 18' Pullup Jump Shot (10 PTS),8:59 PM
260,5,1,311,21500477,Valanciunas 1' Layup (8 PTS) (Lowry 5 AST),,10:10,3,4,4,0,202685,Jonas Valanciunas,TOR,Toronto,1610612761,Raptors,200768,Kyle Lowry,TOR,Toronto,1610612761,Raptors,0,,,,,,44 - 54,10,,9:00 PM
261,79,1,312,21500477,,,9:57,3,5,5,0,203490,Otto Porter,WAS,Washington,1610612764,Wizards,202322,John Wall,WAS,Washington,1610612764,Wizards,0,,,,,,46 - 54,8,Porter Jr. 17' Pullup Jump Shot (12 PTS) (Wall 5 AST),9:00 PM
262,79,2,313,21500477,MISS DeRozan 10' Pullup Jump Shot,,9:38,3,4,0,0,201942,DeMar DeRozan,TOR,Toronto,1610612761,Raptors,0,,,,,,0,,,,,,,,,9:00 PM
263,0,4,314,21500477,Valanciunas REBOUND (Off:4 Def:2),,9:37,3,4,0,0,202685,Jonas Valanciunas,TOR,Toronto,1610612761,Raptors,0,,,,,,0,,,,,,,,,9:00 PM
