,EVENTMSGACTIONTYPE,EVENTMSGTYPE,EVENTNUM,GAME_ID,HOMEDESCRIPTION,NEUTRALDESCRIPTION,PCTIMESTRING,PERIOD,PERSON1TYPE,PERSON2TYPE,PERSON3TYPE,PLAYER1_ID,PLAYER1_NAME,PLAYER1_TEAM_ABBREVIATION,PLAYER1_TEAM_CITY,PLAYER1_TEAM_ID,PLAYER1_TEAM_NICKNAME,PLAYER2_ID,PLAYER2_NAME,PLAYER2_TEAM_ABBREVIATION,PLAYER2_TEAM_CITY,PLAYER2_TEAM_ID,PLAYER2_TEAM_NICKNAME,PLAYER3_ID,PLAYER3_NAME,PLAYER3_TEAM_ABBREVIATION,PLAYER3_TEAM_CITY,PLAYER3_TEAM_ID,PLAYER3_TEAM_NICKNAME,SCORE,SCOREMARGIN,VISITORDESCRIPTION,WCTIMESTRING
243,0,4,282,21500463,,,10:18,3,5,0,0,2449,Luis Scola,TOR,Toronto,1610612761,Raptors,0,,,,,,0,,,,,,,,Scola REBOUND (Off:1 Def:4),9:23 PM
244,1,2,283,21500463,,,10:11,3,5,0,0,2449,Luis Scola,TOR,Toronto,1610612761,Raptors,0,,,,,,0,,,,,,,,MISS Scola 13' Jump Shot,9:23 PM
245,0,4,284,21500463,Butler REBOUND (Off:1 Def:1),,10:11,3,4,0,0,202710,Jimmy Butler,CHI,Chicago,1610612741,Bulls,0,,,,,,0,,,,,,,,,9:24 PM
246,1,6,285,21500463,,,10:11,3,5,4,1,2449,Luis Scola,TOR,Toronto,1610612761,Raptors,202710,Jimmy Butler,CHI,Chicago,1610612741,Bulls,0,,,,,,,,Scola P.FOUL (P3.T2) (T.Washington),9:24 PM
247,1,2,286,21500463,MISS Mirotic 26' 3PT Jump Shot,,9:54,3,4,0,0,202703,Nikola Mirotic,CHI,Chicago,1610612741,Bulls,0,,,,,,0,,,,,,,,,9:24 PM
248,0,4,287,21500463,,,9:53,3,5,0,0,201942,DeMar DeRozan,TOR,Toronto,1610612761,Raptors,0,,,,,,0,,,,,,,,DeRozan REBOUND (Off:1 Def:3),9:24 PM
249,1,5,288,21500463,Butler STEAL (2 STL),,9:40,3,5,4,0,200768,Kyle Lowry,TOR,Toronto,1610612761,Raptors,202710,Jimmy Butler,CHI,Chicago,1610612741,Bulls,0,,,,,,,,Lowry Bad Pass Turnover (P2.T5),9:24 PM
250,1,2,289,21500463,MISS Butler 24' 3PT Jump Shot,,9:27,3,4,0,0,202710,Jimmy Butler,CHI,Chicago,1610612741,Bulls,0,,,,,,0,,,,,,,,,9:25 PM
251,0,4,290,21500463,,,9:26,3,3,0,0,1610612761,,,,,,0,,,,,,0,,,,,,,,Raptors Rebound,9:25 PM
252,2,6,291,21500463,Mirotic S.FOUL (P2.T2) (T.Washington),,9:14,3,4,5,1,202703,Nikola Mirotic,CHI,Chicago,1610612741,Bulls,201960,DeMarre Carroll,TOR,Toronto,1610612761,Raptors,0,,,,,,,,,9:25 PM
253,11,3,292,21500463,,,9:14,3,5,0,0,201960,DeMarre Carroll,TOR,Toronto,1610612761,Raptors,0,,,,,,0,,,,,,,,MISS Carroll Free Throw 1 of 2,9:25 PM
254,1,4,293,21500463,,,9:14,3,3,0,0,1610612761,,,,,,0,,,,,,0,,,,,,,,Raptors Rebound,9:25 PM
255,12,3,294,21500463,,,9:14,3,5,0,0,201960,DeMarre Carroll,TOR,Toronto,1610612761,Raptors,0,,,,,,0,,,,,,,,MISS Carroll Free Throw 2 of 2,9:25 PM
256,0,4,296,21500463,Mirotic REBOUND (Off:0 Def:7),,9:13,3,4,0,0,202703,Nikola Mirotic,CHI,Chicago,1610612741,Bulls,0,,,,,,0,,,,,,,,,9:26 PM
257,79,2,297,21500463,MISS Rose 15' Pullup Jump Shot,,8:50,3,4,0,0,201565,Derrick Rose,CHI,Chicago,1610612741,Bulls,0,,,,,,0,,,,,,,,,9:26 PM
258,0,4,298,21500463,,,8:49,3,5,0,0,202687,Bismack Biyombo,TOR,Toronto,1610612761,Raptors,0,,,,,,0,,,,,,,,Biyombo REBOUND (Off:1 Def:8),9:26 PM
259,1,1,299,21500463,,,8:40,3,5,5,0,200768,Kyle Lowry,TOR,Toronto,1610612761,Raptors,2449,Luis Scola,TOR,Toronto,1610612761,Raptors,0,,,,,,55 - 51,-4,Lowry  3PT Jump Shot (16 PTS) (Scola 1 AST),9:26 PM
260,2,6,300,21500463,,,8:29,3,5,4,1,2449,Luis Scola,TOR,Toronto,1610612761,Raptors,202710,Jimmy Butler,CHI,Chicago,1610612741,Bulls,0,,,,,,,,Scola S.FOUL (P4.T3) (T.Washington),9:26 PM
261,11,3,301,21500463,MISS Butler Free Throw 1 of 2,,8:29,3,4,0,0,202710,Jimmy Butler,CHI,Chicago,1610612741,Bulls,0,,,,,,0,,,,,,,,,9:27 PM
262,1,4,302,21500463,BULLS Rebound,,8:29,3,2,0,0,1610612741,,,,,,0,,,,,,0,,,,,,,,,9:27 PM
263,0,8,303,21500463,,,8:29,3,5,5,0,2449,Luis Scola,TOR,Toronto,1610612761,Raptors,202335,Patrick Patterson,TOR,Toronto,1610612761,Raptors,0,,,,,,,,SUB: Patterson FOR Scola,9:27 PM
264,12,3,304,21500463,Butler Free Throw 2 of 2 (3 PTS),,8:29,3,4,0,0,202710,Jimmy Butler,CHI,Chicago,1610612741,Bulls,0,,,,,,0,,,,,,55 - 52,-3,,9:27 PM
265,1,2,306,21500463,,,8:07,3,5,0,0,201942,DeMar DeRozan,TOR,Toronto,1610612761,Raptors,0,,,,,,0,,,,,,,,MISS DeRozan 26' 3PT Jump Shot,9:28 PM
266,0,4,307,21500463,BULLS Rebound,,8:07,3,2,0,0,1610612741,,,,,,0,,,,,,0,,,,,,,,,9:28 PM
267,86,1,308,21500463,Gasol 10' Turnaround Fadeaway (11 PTS),,7:49,3,4,0,0,2200,Pau Gasol,CHI,Chicago,1610612741,Bulls,0,,,,,,0,,,,,,55 - 54,-1,,9:28 PM
268,2,6,309,21500463,,,7:49,3,5,4,1,202687,Bismack Biyombo,TOR,Toronto,1610612761,Raptors,2200,Pau Gasol,CHI,Chicago,1610612741,Bulls,0,,,,,,,,Biyombo S.FOUL (P3.T4) (E.Roe),9:28 PM
269,10,3,310,21500463,Gasol Free Throw 1 of 1 (12 PTS),,7:49,3,4,0,0,2200,Pau Gasol,CHI,Chicago,1610612741,Bulls,0,,,,,,0,,,,,,55 - 55,TIE,,9:28 PM
270,1,1,312,21500463,,,7:25,3,5,5,0,201960,DeMarre Carroll,TOR,Toronto,1610612761,Raptors,200768,Kyle Lowry,TOR,Toronto,1610612761,Raptors,0,,,,,,58 - 55,-3,Carroll 25' 3PT Jump Shot (5 PTS) (Lowry 6 AST),9:29 PM
271,1,5,313,21500463,Rose Bad Pass Turnover (P1.T6),,7:20,3,4,5,0,201565,Derrick Rose,CHI,Chicago,1610612741,Bulls,201942,DeMar DeRozan,TOR,Toronto,1610612761,Raptors,0,,,,,,,,DeRozan STEAL (1 STL),9:29 PM
272,1,2,314,21500463,,,7:15,3,5,0,0,201960,DeMarre Carroll,TOR,Toronto,1610612761,Raptors,0,,,,,,0,,,,,,,,MISS Carroll 26' 3PT Jump Shot,9:29 PM
273,0,4,316,21500463,,,7:14,3,5,0,0,201942,DeMar DeRozan,TOR,Toronto,1610612761,Raptors,0,,,,,,0,,,,,,,,DeRozan REBOUND (Off:2 Def:3),9:29 PM
274,72,1,315,21500463,,,7:14,3,5,0,0,201942,DeMar DeRozan,TOR,Toronto,1610612761,Raptors,0,,,,,,0,,,,,,60 - 55,-5,DeRozan 3' Putback Layup (9 PTS),9:29 PM
275,1,9,317,21500463,BULLS Timeout: Regular (Full 3 Short 0),,7:14,3,2,0,0,1610612741,,,,,,0,,,,,,0,,,,,,,,,9:29 PM
276,1,6,321,21500463,,,6:59,3,5,4,1,201960,DeMarre Carroll,TOR,Toronto,1610612761,Raptors,2200,Pau Gasol,CHI,Chicago,1610612741,Bulls,0,,,,,,,,Carroll P.FOUL (P2.PN) (E.Roe),9:32 PM
277,11,3,322,21500463,Gasol Free Throw 1 of 2 (13 PTS),,6:59,3,4,0,0,2200,Pau Gasol,CHI,Chicago,1610612741,Bulls,0,,,,,,0,,,,,,60 - 56,-4,,9:32 PM
278,12,3,324,21500463,Gasol Free Throw 2 of 2 (14 PTS),,6:59,3,4,0,0,2200,Pau Gasol,CHI,Chicago,1610612741,Bulls,0,,,,,,0,,,,,,60 - 57,-3,,9:32 PM
279,2,6,326,21500463,Gasol S.FOUL (P1.T3) (E.Roe),,6:49,3,4,5,1,2200,Pau Gasol,CHI,Chicago,1610612741,Bulls,201942,DeMar DeRozan,TOR,Toronto,1610612761,Raptors,0,,,,,,,,,9:33 PM
280,11,3,327,21500463,,,6:49,3,5,0,0,201942,DeMar DeRozan,TOR,Toronto,1610612761,Raptors,0,,,,,,0,,,,,,,,MISS DeRozan Free Throw 1 of 2,9:33 PM
281,1,4,328,21500463,,,6:49,3,3,0,0,1610612761,,,,,,0,,,,,,0,,,,,,,,Raptors Rebound,9:33 PM
282,12,3,329,21500463,,,6:49,3,5,0,0,201942,DeMar DeRozan,TOR,Toronto,1610612761,Raptors,0,,,,,,0,,,,,,61 - 57,-4,DeRozan Free Throw 2 of 2 (10 PTS),9:33 PM
283,1,5,331,21500463,Gibson Bad Pass Turnover (P1.T7),,6:38,3,4,5,0,201959,Taj Gibson,CHI,Chicago,1610612741,Bulls,201960,DeMarre Carroll,TOR,Toronto,1610612761,Raptors,0,,,,,,,,Carroll STEAL (1 STL),9:34 PM
284,1,2,333,21500463,,,6:26,3,5,0,0,202335,Patrick Patterson,TOR,Toronto,1610612761,Raptors,0,,,,,,0,,,,,,,,MISS Patterson 25' 3PT Jump Shot,9:34 PM
285,0,4,334,21500463,BULLS Rebound,,6:26,3,2,0,0,1610612741,,,,,,0,,,,,,0,,,,,,,,,9:34 PM
286,3,6,335,21500463,,,6:26,3,5,4,1,202687,Bismack Biyombo,TOR,Toronto,1610612761,Raptors,2200,Pau Gasol,CHI,Chicago,1610612741,Bulls,0,,,,,,,,Biyombo L.B.FOUL (P4.PN) (B.Barnaky),9:34 PM
287,11,3,336,21500463,Gasol Free Throw 1 of 2 (15 PTS),,6:26,3,4,0,0,2200,Pau Gasol,CHI,Chicago,1610612741,Bulls,0,,,,,,0,,,,,,61 - 58,-3,,9:35 PM
288,0,8,338,21500463,,,6:26,3,5,5,0,202687,Bismack Biyombo,TOR,Toronto,1610612761,Raptors,202685,Jonas Valanciunas,TOR,Toronto,1610612761,Raptors,0,,,,,,,,SUB: Valanciunas FOR Biyombo,9:35 PM
289,12,3,339,21500463,Gasol Free Throw 2 of 2 (16 PTS),,6:26,3,4,0,0,2200,Pau Gasol,CHI,Chicago,1610612741,Bulls,0,,,,,,0,,,,,,61 - 59,-2,,9:35 PM
290,1,1,341,21500463,,,6:10,3,5,5,0,202335,Patrick Patterson,TOR,Toronto,1610612761,Raptors,201942,DeMar DeRozan,TOR,Toronto,1610612761,Raptors,0,,,,,,64 - 59,-5,Patterson 24' 3PT Jump Shot (5 PTS) (DeRozan 6 AST),9:35 PM
291,1,1,342,21500463,Rose 26' 3PT Jump Shot (15 PTS) (Butler 4 AST),,5:44,3,4,4,0,201565,Derrick Rose,CHI,Chicago,1610612741,Bulls,202710,Jimmy Butler,CHI,Chicago,1610612741,Bulls,0,,,,,,64 - 62,-2,,9:36 PM
292,2,6,343,21500463,Gibson S.FOUL (P4.T4) (T.Washington),,5:25,3,4,5,1,201959,Taj Gibson,CHI,Chicago,1610612741,Bulls,200768,Kyle Lowry,TOR,Toronto,1610612761,Raptors,0,,,,,,,,,9:36 PM
293,11,3,344,21500463,,,5:25,3,5,0,0,200768,Kyle Lowry,TOR,Toronto,1610612761,Raptors,0,,,,,,0,,,,,,65 - 62,-3,Lowry Free Throw 1 of 2 (17 PTS),9:36 PM
294,0,8,346,21500463,,,5:25,3,5,5,0,201960,DeMarre Carroll,TOR,Toronto,1610612761,Raptors,203082,Terrence Ross,TOR,Toronto,1610612761,Raptors,0,,,,,,,,SUB: Ross FOR Carroll,9:36 PM
295,0,8,347,21500463,SUB: Portis FOR Mirotic,,5:25,3,4,4,0,202703,Nikola Mirotic,CHI,Chicago,1610612741,Bulls,1626171,Bobby Portis,CHI,Chicago,1610612741,Bulls,0,,,,,,,,,9:36 PM
296,0,8,348,21500463,SUB: Snell FOR Gibson,,5:25,3,4,4,0,201959,Taj Gibson,CHI,Chicago,1610612741,Bulls,203503,Tony Snell,CHI,Chicago,1610612741,Bulls,0,,,,,,,,,9:36 PM
297,12,3,349,21500463,,,5:25,3,5,0,0,200768,Kyle Lowry,TOR,Toronto,1610612761,Raptors,0,,,,,,0,,,,,,66 - 62,-4,Lowry Free Throw 2 of 2 (18 PTS),9:37 PM
298,1,2,351,21500463,MISS Gasol 20' Jump Shot,,5:08,3,4,0,0,2200,Pau Gasol,CHI,Chicago,1610612741,Bulls,0,,,,,,0,,,,,,,,,9:37 PM
299,0,4,352,21500463,,,5:07,3,5,0,0,202685,Jonas Valanciunas,TOR,Toronto,1610612761,Raptors,0,,,,,,0,,,,,,,,Valanciunas REBOUND (Off:1 Def:2),9:37 PM
300,42,1,353,21500463,,,4:53,3,5,0,0,200768,Kyle Lowry,TOR,Toronto,1610612761,Raptors,0,,,,,,0,,,,,,68 - 62,-6,Lowry 2' Driving Layup (20 PTS),9:37 PM
301,1,1,354,21500463,Gasol 18' Jump Shot (18 PTS) (Rose 4 AST),,4:33,3,4,4,0,2200,Pau Gasol,CHI,Chicago,1610612741,Bulls,201565,Derrick Rose,CHI,Chicago,1610612741,Bulls,0,,,,,,68 - 64,-4,,9:38 PM
302,47,2,355,21500463,,,4:11,3,5,0,0,202685,Jonas Valanciunas,TOR,Toronto,1610612761,Raptors,0,,,,,,0,,,,,,,,MISS Valanciunas 10' Turnaround Jump Shot,9:38 PM
303,0,4,356,21500463,Butler REBOUND (Off:1 Def:2),,4:10,3,4,0,0,202710,Jimmy Butler,CHI,Chicago,1610612741,Bulls,0,,,,,,0,,,,,,,,,9:38 PM
304,42,1,357,21500463,Rose 2' Driving Layup (17 PTS),,4:00,3,4,0,0,201565,Derrick Rose,CHI,Chicago,1610612741,Bulls,0,,,,,,0,,,,,,68 - 66,-2,,9:38 PM
