,EVENTMSGACTIONTYPE,EVENTMSGTYPE,EVENTNUM,GAME_ID,HOMEDESCRIPTION,NEUTRALDESCRIPTION,PCTIMESTRING,PERIOD,PERSON1TYPE,PERSON2TYPE,PERSON3TYPE,PLAYER1_ID,PLAYER1_NAME,PLAYER1_TEAM_ABBREVIATION,PLAYER1_TEAM_CITY,PLAYER1_TEAM_ID,PLAYER1_TEAM_NICKNAME,PLAYER2_ID,PLAYER2_NAME,PLAYER2_TEAM_ABBREVIATION,PLAYER2_TEAM_CITY,PLAYER2_TEAM_ID,PLAYER2_TEAM_NICKNAME,PLAYER3_ID,PLAYER3_NAME,PLAYER3_TEAM_ABBREVIATION,PLAYER3_TEAM_CITY,PLAYER3_TEAM_ID,PLAYER3_TEAM_NICKNAME,SCORE,SCOREMARGIN,VISITORDESCRIPTION,WCTIMESTRING
371,0,4,463,21500649,,,4:54,4,5,0,0,1626159,Justise Winslow,MIA,Miami,1610612748,Heat,0,,,,,,0,,,,,,,,Winslow REBOUND (Off:1 Def:6),10:15 PM
372,2,7,465,21500649,Valanciunas Violation:Defensive Goaltending (M.Callahan),,4:47,4,4,0,1,202685,Jonas Valanciunas,TOR,Toronto,1610612761,Raptors,0,,,,,,0,,,,,,,,,10:15 PM
373,42,1,464,21500649,,,4:47,4,5,0,0,2547,Chris Bosh,MIA,Miami,1610612748,Heat,0,,,,,,0,,,,,,77 - 88,11,Bosh 4' Driving Layup (22 PTS),10:15 PM
374,1,2,467,21500649,MISS Lowry 25' 3PT Jump Shot,,4:24,4,4,0,0,200768,Kyle Lowry,TOR,Toronto,1610612761,Raptors,0,,,,,,0,,,,,,,,,10:16 PM
375,0,4,468,21500649,,,4:24,4,5,0,0,1626159,Justise Winslow,MIA,Miami,1610612748,Heat,0,,,,,,0,,,,,,,,Winslow REBOUND (Off:1 Def:7),10:16 PM
376,1,2,469,21500649,,,4:11,4,5,0,0,2547,Chris Bosh,MIA,Miami,1610612748,Heat,0,,,,,,0,,,,,,,,MISS Bosh 25' 3PT Jump Shot,10:16 PM
377,0,4,470,21500649,,,4:11,4,5,0,0,2547,Chris Bosh,MIA,Miami,1610612748,Heat,0,,,,,,0,,,,,,,,Bosh REBOUND (Off:2 Def:5),10:16 PM
378,5,1,471,21500649,,,4:07,4,5,0,0,2547,Chris Bosh,MIA,Miami,1610612748,Heat,0,,,,,,0,,,,,,79 - 88,9,Bosh 3' Layup (24 PTS),10:16 PM
379,80,1,473,21500649,Patterson  3PT Step Back Jump Shot (5 PTS) (Lowry 5 AST),,3:35,4,4,4,0,202335,Patrick Patterson,TOR,Toronto,1610612761,Raptors,200768,Kyle Lowry,TOR,Toronto,1610612761,Raptors,0,,,,,,79 - 91,12,,10:17 PM
380,86,2,474,21500649,,,3:12,4,5,0,0,2548,Dwyane Wade,MIA,Miami,1610612748,Heat,0,,,,,,0,,,,,,,,MISS Wade 5' Turnaround Fadeaway Shot,10:17 PM
381,0,4,475,21500649,Valanciunas REBOUND (Off:1 Def:8),,3:12,4,4,0,0,202685,Jonas Valanciunas,TOR,Toronto,1610612761,Raptors,0,,,,,,0,,,,,,,,,10:17 PM
382,1,2,476,21500649,MISS Johnson 24' 3PT Jump Shot,,3:04,4,4,0,0,201949,James Johnson,TOR,Toronto,1610612761,Raptors,0,,,,,,0,,,,,,,,,10:17 PM
